,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work/Life Balance
0,Software Engineer II - Full Stack,₹5L - ₹6L (Glassdoor Est.),"About the Role

Marketplace Config Platform Engineering Team in Bangalore is looking for engineers to design and develop the reliable, scalable and secure foundational configuration components that empower ops and engineers to manage the marketplace behavior of all the cities that UBER is operating on.

Constantly evolve the visualisation platform to identify bottlenecks and improve them.
Collaborate with multiple product and engineering teams, as well as external partnerships for integration into our platform
Work with Product, UX, and Design to build world-class APIs.
Write quality code and documentation which can be used as the example for your company








Show More
Report",4.4,"Uber
4.4",Bangalore,10000+ Employees,2009,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),4.2,4.4,4.3,4.0,4.2
1,Full Stack Engineer,Employer Provided Salary:₹12L - ₹15L,"Job Brief:
We are looking for a Full Stack Developer to produce scalable software solutions. You'll be part of a cross-functional team that's responsible for the full software development life cycle, from conception to deployment.
As a Full Stack Developer, you should be comfortable around both front-end and back-end coding languages, development frameworks, and third-party libraries. You should also be a team player with a knack for visual design and utility.
Requirements and Skills:
MERN Full Stack Developer
Proven experience as a Full Stack Developer or similar role
Proficient and highly productive with JavaScript, HTML, SQL Server
4-6 years of functional industry experience with SQL, JavaScript (Node.js, React.js)
Experience with Mobile app development for both iOS and Android
Familiarity and past experience with MongoDB, Heroku, Twilio, and Postman API are highly desirable
Experience with integration of third-party APIs like Google Maps
Highly organized and flexible, able to work rapidly, accurately, and efficiently in a fast-paced environment
Great attention to detail
Organizational skills
An analytical mind
Degree in Computer Science, Statistics, or relevant field
Responsibilities:
Work with development teams and product managers to ideate software solutions
Participate in the design and creation of scalable software
Write clean, functional code on the front- and back-end
Test and fix bugs or other coding issues
Design client-side and server-side architecture
Build the front-end of applications through appealing visual design
Develop and manage well-functioning databases and applications
Write effective APIs
Test software to ensure responsiveness and efficiency
Troubleshoot, debug, and upgrade software
Create security and data protection settings
Build features and applications with a mobile-responsive design
Write technical documentation
Work with data scientists and analysts to improve software
Job Type: Full-time
Salary: ₹1,200,000.00 - ₹1,500,000.00 per year
Benefits:
Work from home
Schedule:
Flexible shift
Education:
Bachelor's (Required)
Experience:
Node.js: 3 years (Preferred)
React.js: 2 years (Preferred)
Mobile applications: 3 years (Required)
MERN Stack Development: 3 years (Preferred)
Language:
English (Preferred)
Show Less
Report",-1,Glow Up Beauty and Wellness Technology,Mumbai,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,Full Stack Engineer,Employer Provided Salary:₹20L - ₹30L,"Strong knowledge of .NET CORE/Angular 6/7/8/ C#/SQLServer/Entity Framework/should know how to build APIs/how to consume etc.
Good to have azure development experience.
Participating in design, code, review and best practices discussions.
Experience with cross browser compatibility issues.
Excellent written and verbal communication skills, Good team player & excellent learner
Experience with version control systems such as Git
Good Knowledge of Object-Oriented Programming
Enjoys close collaboration with colleagues on projects large and small.
Capability to work on multiple projects at the same time.
Capacity to anticipate any possible problems with design and implementation.
Works comfortably in an agile environment.
Capability to work under own initiative.
Excellent timekeeping/presence
Ability to work independently on tasks/modules assigned for development.
Ability to stretch working hours whenever required to support timely delivery.
Need be comfortable working in a dynamic environment.
Ability to troubleshoot, debug and upgrade existing software
Job Type: Full-time
Salary: ₹2,000,000.00 - ₹3,000,000.00 per year
Benefits:
Health insurance
Paid sick time
Paid time off
Provident Fund
Work from home
Schedule:
Morning shift
Supplemental pay types:
Yearly bonus
Ability to commute/relocate:
Bangalore, Karnataka: Reliably commute or planning to relocate before starting work (Required)
Education:
Bachelor's (Preferred)
Show Less
Report",-1,RDA Labs,Bangalore,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,Full Stack Engineer,Employer Provided Salary:₹6L - ₹15L,"Company Overview: TechUp Labs is a product-based IT company. We're working on two of our in-house products & a variety of partnered products across different domains like health, education, etc. Our product – Feedbackery is our inhouse Product which is a feedback-providing application You can find more about the Product here- feedbackery.io
Must have skills- 1. Critical Thinking
2. English speaking/reading/writing
3. 4+ Years in Laravel + MYSQL Experience
4. Experience in HTML/CSS/JS/Bootstrap or React.Js
We live by Values, not Rules. Our Values:
Show More
Report",-1,TechUp Labs,Bangalore,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,Junior Software Engineer,-1,"Job Summary:
We are looking for a skilled Junior Software Developer comfortable in taking challenges. to join our experienced software design team. This entry-level job is the stepping stone to build out a career as a full-stack developer.
Interview Slots : 11 AM - 1 PM OR 3:30 PM - 5 PM
Job Description:
Desired Candidate Profile:
Freshers 0-12 Months (2021 / 2022 Pass Out/pending results/having arrears)
Interest to learn new languages and technologies.
Attention to detail
Excellent team work and analytical skills.
Any Degree / Diploma who are completed or awaiting results or having arrears can apply.
As a Junior Software Developer, you will be responsible to :
Work with developers to design algorithms and flowcharts.
Produce clean, efficient code based on specifications.
Integrate software components.
Verify and deploy programs and systems.
Troubleshoot, debug, and ensure the responsiveness of the existing software and applications.
Training will be provided in required programming languages.
Skills Required:
Strong knowledge to write own programs in any one of the programming or scripting language : HTML, JAVA, Java Script, CSS, C, C++, AngularJS, Python, etc.,
Good knowledge of SQL and NoSQL databases.
This is a pure Core Programming based job.
Benefits
Work timings: 8.30 AM to 6:00 PM.
Other Employee Benefits : Team dinner/ lunch, Movie nights as per company norms.
About Ascent24 Technologies
Ascent24 Technologies is a custom software development company, located in Coimbatore, Tamil Nadu, India. With a highly skilled and talented tech team, we provide high-end, advanced custom business software solutions and ensure our clients high-level satisfaction.
You can also be part of a talented and aspiring technology team!
Please visit our site for more information https://www.ascent24.io/
Interview Process : Share your updated CV, we will assess your profile and contact you.
WFH : No
Job Types: Full-time, Regular / Permanent, Fresher
Schedule:
Day shift
COVID-19 considerations:
All candidates are requested to wear mask and come for the Interview
Show Less
Report",-1,Ascent24 Technologies,Coimbatore,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,Senior Software Engineer,₹2L - ₹7L (Glassdoor Est.),"In a world of disruption and increasingly complex business challenges, our professionals bring truth into focus with the Kroll Lens. Our sharp analytical skills, paired with the latest technology, allow us to give our clients clarity—not just answers—in all areas of business. We embrace diverse backgrounds and global perspectives, and we cultivate diversity by respecting, including, and valuing one another. As part of One team, One Kroll, you’ll contribute to a supportive and collaborative work environment that empowers you to excel.


At Kroll, your work will help deliver clarity to our clients’ most complex governance, risk, and transparency challenges. Apply now to join One team, One Kroll.










































































Show More
Report",3.7,"Kroll
3.7",Hyderābād,5001 to 10000 Employees,1932,Company - Private,Financial Transaction Processing,Finance,$2 to $5 billion (USD),3.7,3.4,3.7,3.5,3.4
6,Full Stack Javascript Developer,Employer Provided Salary:₹9L - ₹17L,"Data Collaborative (DC) is a technology services and solutions firm with offices in Arlington, MA, Portsmouth, NH, and Noida, India but a REMOTE first firm. We are looking to fill a software engineer position out of our Noida, India location.
We build mission critical business applications, integrate systems, and implement low-code solutions supporting a broad range of industries and have 200 global customers – including over a dozen Fortune 500 clients.
DC is looking for an experienced developer to continue to develop and maintain a Vertical Saas solution built on: Node.js, TypeScript, Next.js, PostgreSQL, Tailwind, and associated technologies.
As a Software Engineer, you will...
Show More
Report",5.0,"Data Collaborative
5.0",Noida,1 to 50 Employees,Company - Private,Internet & Web Services,Information Technology,$1 to $5 million (USD),-1,5.0,5.0,5.0,5.0,5.0
7,Full Stack Engineer,Employer Provided Salary:₹1L - ₹2L,"We are on a mission to make AI accessible to everyone, regardless of their technical background. We believe that AI has the potential to transform the way we live, work, and interact with the world. Our goal is to create user-friendly apps and tools that enable people to benefit from AI technology in their daily lives.
Our team of engineers, designers, and data scientists is passionate about using technology to solve complex problems and make a positive impact on people's lives. We value creativity, innovation, and collaboration and seek new, exciting ways to leverage AI technology.
Benefits
Flexible working hours
Fast growth as the company scales

Show More
Report",-1,DigiSmiths.com,Bangalore,Unknown,Company - Public,Unknown / Non-Applicable,-1,-1,-1,-1,-1,-1,-1,-1
8,Full Stack Engineer,Employer Provided Salary:₹6L,"Full time
@CAPTIVE HIRING in Development
India
Salary: ₹0.00 - ₹600,000.00 / Yearly

Job Detail
Experience
0 - 1 years
Job Description
About Company – Hexaware is an automation-led next-generation service provider delivering excellence in IT, BPS and Consulting services. We are driven by a combination of robust strategies, passionate teams and a global culture rooted in innovation and automation. Hexaware’s digital offerings have helped clients achieve operational excellence and customer delight
Job Description
To work on growing technology concepts in full stack programming
To be part of growing digital company in the space of Cloudify, Automation and Transform customer experience
Opportunity to work with varied client accounts and projects thus enabling in enhancement of skills and attributes.
As a member of our technology teams, you should be passionate around solving business problems through innovation and engineering practices.
Gain deep knowledge in programming languages, program design and development procedures.
• Participate as directed in the complete software development life cycle from requirement gathering to deployment of the product • Design, develop and troubleshoot moderate to complex software applications
Get associated in development, testing, support of existing/new software applications and solutions
Undertake any other assignments for which may be allocated to you from time to time
Cultivate strong working relationships with co-worker

If an employer asks you to pay any kind of fee, please notify us immediately. We do not charge any fee from the applicants and we do not allow other companies also to do so.
Show Less
Report",5.0,"BIG IT JOBS
5.0",India,51 to 200 Employees,Company - Public,Unknown / Non-Applicable,-1,-1,-1,5.0,5.0,4.7,5.0,4.7
9,Java Full Stack Intern,Employer Provided Salary:₹6T - ₹7T,"We are seeking for Full Stack Developers, who will be part of the Engineering team and collaborating with the Product & Solution Architecture teams to build products using the latest technologies. We expect you to write clean and exceptional code, adopting best practices. Vue JS, Java, Groovy, GraphQL, and AWS services are some of the frameworks and tools in our technology stack.
This role requires a developer who is passionate about writing reusable and scalable code. We are a small team of highly skilled engineers and looking forward to adding a new member who wishes to advances in one's career by continuous learning.Selected candidates will be an integral part of a team of passionate and enthusiastic IT professionals, and have tremendous opportunities to contribute to the success of the products.
What you will do



Show More
Report",-1,Integrin Enterprise Solutions,Coimbatore,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
