,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work/Life Balance
0,Full Stack Developer,Employer Provided Salary:₹13L - ₹23L,"We are looking for a rockstar developer to join the international team .
Technology skill set : Angular 6/7, Asp.net, Typescript, GIT, Azure, SQL
Experience in SDLC between 4-7 years.
Working in airline industry is a nice to have.
Experience building booking sites and travel sites is a plus
BCS offers diverse opportunities across IT and business services that enable employees to grow and succeed in their career.
Why work with BCS Technology?
More than just a market leading salary – we provide a range of benefits including HMO, performance awards, yearly appraisals, signing and performance bonuses
Your voice will be heard - you are part of a small collaborative team where your ideas will have an impact.
A chance to work with the best international brands from the US, Canada, Mexico, Australia, Singapore, and many more.
Work from home - we're working remotely but still find ways to build teams during the pandemic with monthly team building and treats.
Opportunity to travel – we have regularly sent our staff to work directly with our clients and this will continue post-Covid. In fact, we have supported our staff for long term assignments or permanent migrations in the US, Mexico, and Australia.
We've got your back - your part of a company that will invest in your career progression, training and development.
Sponsored Certifications
Learning and development opportunities – both on the job and classroom style training
Genuine Career opportunities / Opportunities to advance – we want to progress our own people
Paid leave
Laptop (fully expensed)
Job Type: Full-time
Salary: ₹1,250,000.00 - ₹2,298,536.20 per year
Benefits:
Health insurance
Paid sick time
Provident Fund
Work from home
Schedule:
Monday to Friday
Supplemental pay types:
Overtime pay
Shift allowance
Application Question(s):
Have you worked with Typescript?
Experience:
Angular: 2 years (Preferred)
total work: 4 years (Preferred)
ASP.NET: 1 year (Preferred)
Work Location: Hybrid remote in Gurugram, Haryana
Show Less
Report",3.0,"BCS Technology International
3.0",India,201 to 500 Employees,2001,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),3.4,3.3,3.0,2.7,3.1
1,Senior Developer / Software developer,Employer Provided Salary:₹7L - ₹9L,"PRIMARY PURPOSE: Assist in all phases of development. Including design, requirements gathering, development and support of new features and enhancements of existing applications. The technology stack of the application consists of C#, WPF, WCF, MVVM, SQL Server, Visual Studio 2019, and Microsoft Azure. Duties will also require supervising the work of Junior developers, organizing code reviews, and ensuring new development conforms with overall architectural goals. Primary technology that applicant will be involved with is development and maintenance of the Twin City Fan FS10(Fan Selector) application.
KEY RESPONSIBILITIES:
· Participate in all levels of the software development life cycle (SDLC), including design, development, requirements review and managing personal deadlines.
· Work in a team environment.
Show More
Report",3.6,"Twin City Fan Companies, Ltd.
3.6",Chennai,1001 to 5000 Employees,1973,Company - Private,Machinery Manufacturing,Manufacturing,$100 to $500 million (USD),3.5,3.8,3.8,3.5,3.7
2,Full Stack Developer,₹4L - ₹7L (Glassdoor Est.),"Introduction
At IBM, work is more than a job - it's a calling: To build. To design. To code. To consult. To think along with clients and sell. To make markets. To invent. To collaborate. Not just to do something better, but to attempt things you've never thought possible. Are you ready to lead in this new era of technology and solve some of the world's most challenging problems? If so, lets talk.

Your Role and Responsibilities
The Client Experience Electronic support & Analytics is looking for candidates to be part of a high-performance Application development team. Enabling state of the art cloud solutions to transform, automate and provide insights to delight our Clients.
In this role, you will be working on tools that help customers monitor the overall health of their systems via fix recommendations (FLRT), as well as a tool that is used to alert the extended IBM team of critical issues being worked on by the support teams (CERT).


Required Technical and Professional Expertise
3 – 6 years of relevant industry experience
Experience in Java, Node.js and React
Experience in Scripting technologies(Bash, Shell, perl)
Experience in Maven

Preferred Technical and Professional Expertise
Knowledge Rational Team Concert (RTC)
Experience in Kubernetes and Docker
Experience in Carbon Design, Jenkins, Git
Any Preferred tool for task Tracking. (Jira, Trello, RTC, GitHub Enterprise)
Experience in Python
Knowledge in build tools (Ant, Maven)

About Business Unit
IBM Systems helps IT leaders think differently about their infrastructure. IBM servers and storage are no longer inanimate - they can understand, reason, and learn so our clients can innovate while avoiding IT issues. Our systems power the world’s most important industries and our clients are the architects of the future. Join us to help build our leading-edge technology portfolio designed for cognitive business and optimized for cloud computing.
This job requires you to be fully COVID-19 vaccinated prior to your start date and proof of vaccination status will be required before your start date. During the Onboarding process you will be asked to confirm your vaccination status, in case you are unable to get vaccinated for any reason, you can let us know at that stage. Please let us know if you are unable to be vaccinated due to medical or religious reasons. IBM will consider such requests on a case by case basis subject to submission of required proof by the candidate before a stipulated date.

Your Life @ IBM
In a world where technology never stands still, we understand that, dedication to our clients success, innovation that matters, and trust and personal responsibility in all our relationships, lives in what we do as IBMers as we strive to be the catalyst that makes the world work better.
Being an IBMer means you’ll be able to learn and develop yourself and your career, you’ll be encouraged to be courageous and experiment everyday, all whilst having continuous trust and support in an environment where everyone can thrive whatever their personal or professional background.
Our IBMers are growth minded, always staying curious, open to feedback and learning new information and skills to constantly transform themselves and our company. They are trusted to provide on-going feedback to help other IBMers grow, as well as collaborate with colleagues keeping in mind a team focused approach to include different perspectives to drive exceptional outcomes for our customers. The courage our IBMers have to make critical decisions everyday is essential to IBM becoming the catalyst for progress, always embracing challenges with resources they have to hand, a can-do attitude and always striving for an outcome focused approach within everything that they do.
Are you ready to be an IBMer?

About IBM
IBM’s greatest invention is the IBMer. We believe that through the application of intelligence, reason and science, we can improve business, society and the human condition, bringing the power of an open hybrid cloud and AI strategy to life for our clients and partners around the world.

Restlessly reinventing since 1911, we are not only one of the largest corporate organizations in the world, we’re also one of the biggest technology and consulting employers, with many of the Fortune 50 companies relying on the IBM Cloud to run their business.

At IBM, we pride ourselves on being an early adopter of artificial intelligence, quantum computing and blockchain. Now it’s time for you to join us on our journey to being a responsible technology innovator and a force for good in the world.

Location Statement
When applying to jobs of your interest, we recommend that you do so for those that match your experience and expertise. Our recruiters advise that you apply to not more than 3 roles in a year for the best candidate experience.

For additional information about location requirements, please discuss with the recruiter following submission of your application.

Being You @ IBM
IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, pregnancy, disability, age, veteran status, or other characteristics. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status.
Start your job application: click Apply Now
Show Less
Report",4.2,"IBM
4.2",Bangalore,10000+ Employees,1911,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD),4.1,3.5,4.3,3.9,4.3
3,Full Stack Developer,Employer Provided Salary:₹4L - ₹7L,"We have immediate Opening Applicants with the profile ""Full stack developer"" need a minimum of 5+ years' experience to understand our systems.
Laravel version 5+
Angular version 6+
NodeJs - PGP bank payment integration skill set.
Database - PostgreSQL, MySQL, MsSQL
AWS minimum knowledge
Facebook and google lead API knowledge.

Show More
Report",4.7,"VGN Projects Estates Pvt Ltd
4.7",Chennai,501 to 1000 Employees,1942,Company - Private,Real Estate,Real Estate,Unknown / Non-Applicable,4.8,4.7,4.8,4.7,4.8
4,Full Stack Developer,Employer Provided Salary:₹9L - ₹20L,"About Company :
Do you want to work in a fast growing company by doing meaningful work and have fun doing it? Remitbee, a FinTech with headquarters in Canada and office in Chennai is seeking a skilled full stack developer with experience in React and Node JS. Individuals who apply for Remitbee careers should be passionate about tech and driven towards innovating the industry further with the Remitbee team. This position will be based out of Chennai or Remote.
This position also comes with the opportunity for career growth and working hour flexibility. We look forward to reading your application. At least 2+ years of experience in backend technologies like Node.js, Express, Sequelize
What will you do?

Show More
Report",4.3,"Remitbee
4.3",Chennai,1 to 50 Employees,2015,Company - Private,Financial Transaction Processing,Finance,$1 to $5 million (USD),4.4,4.0,4.5,4.2,4.4
5,Full Stack Developer |PHP|,Employer Provided Salary:₹16T - ₹60T,"Strong knowledge of PHP web frameworks.Understanding the fully synchronous behaviour of PHP.Basic understanding of front-end technologies, such as JavaScript, JQuery, HTML5, CSS3, Note JS. knowledge of Core PHP, JavaScript, SQL
Job Types: Full-time, Regular / Permanent
Pay: ₹15,957.65 - ₹60,029.58 per month
Benefits:
Flexible schedule
Work from home
Schedule:
Day shift
Flexible shift
Monday to Friday
Supplemental pay types:
Yearly bonus
Application Question(s):
what is Current CTC ?
Experience:
total work: 1 year (Preferred)
PHP: 1 year (Preferred)
Show Less
Report",5.0,"Anglerfox
5.0",Bangalore,51 to 200 Employees,Company - Private,Unknown / Non-Applicable,-1,-1,-1,5.0,2.0,4.0,4.0,4.0
6,Full Stack Javascript Developer,Employer Provided Salary:₹9L - ₹17L,"Data Collaborative (DC) is a technology services and solutions firm with offices in Arlington, MA, Portsmouth, NH, and Noida, India but a REMOTE first firm. We are looking to fill a software engineer position out of our Noida, India location.
We build mission critical business applications, integrate systems, and implement low-code solutions supporting a broad range of industries and have 200 global customers – including over a dozen Fortune 500 clients.
DC is looking for an experienced developer to continue to develop and maintain a Vertical Saas solution built on: Node.js, TypeScript, Next.js, PostgreSQL, Tailwind, and associated technologies.
As a Software Engineer, you will...
Show More
Report",5.0,"Data Collaborative
5.0",Noida,1 to 50 Employees,Company - Private,Internet & Web Services,Information Technology,$1 to $5 million (USD),-1,5.0,5.0,5.0,5.0,5.0
7,Senior React Native Developer,Employer Provided Salary:₹5L - ₹12L,"Senior React Native Developer
We, YUHIRO, a German-Indian IT company, are looking for a Senior React Native Developer. Knowledge in building mobile apps. Primary Tech Stack: JavaScript, CSS, React Native, Node.js, Redux.
Candidate Profile:
Has successfully built mobile apps for iOS and Android
Strong working knowledge of React Native
Nice To Have: Node.js, Redux (XCode, Android Studio)
Good communication skills


Show More
Report",4.7,"YUHIRO Technologies Private Limited
4.7",Cochin,1 to 50 Employees,2011,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,4.6,4.6,4.6,4.5,4.6
8,"Full Stack Developer (.Net,C#, React.js)",Employer Provided Salary:₹4L - ₹16L,"About VENHAN:
VENHAN is a new-age 'Agile and Lean Product Engineering’ firm that empowers businesses to be fast and fail-proof through state-of-the-art IT solutions. With more than 10 years of successful operations in India and the United States, we craft custom solutions in web, mobile, cloud, and data analytics using rapid agile and lean engineering methods and productivity frameworks. Our trendsetting ways of making software ensure faster time to market, product quality, lower risk, and transparency. To know more, please visit - http://www.venhan.com/
Job Description:
Proficiency in building REST services using C# and .Net Core web API
Experience with one or more PostgreSQL/mongoDB
Show More
Report",4.7,"Venhan Technologies
4.7",Hyderābād,51 to 200 Employees,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1,4.7,4.7,4.7,5.0,3.8
9,Technology Analyst - Full stack,₹6L - ₹8L (Glassdoor Est.),"Responsibilities
We are looking for an experienced Full Stack Developers who wants to develop exciting and innovative shopping experiences for some of the biggest Retail/CPG brands in the world. This individual is responsible for analyzing, developing and delivering the technical solution that satisfies the functional design documents and other useful requirements. The ideal candidate will have a very strong technology background and demonstrated experience in building very high-quality web applications with attention to detail and performance. Responsibilities: • Ensure effective Design and Documentation in line with Client and Architecture requirements across front end and backend components. • Develop and deliver applications/projects on time and with high quality. • Develop application code in accordance with the organization standards and processes. • Fix defects that are raised and provide support during QA validation. • Debug and troubleshoot problems in live applications.
Additional Responsibilities:
• Communication and Good Problem-solving skills. • Good understanding of the functional capabilities of the e-commerce platform. • Exposure to a variety of front-end, middleware, and back-end technologies. • Understanding of coding practices, code quality, and code coverage.
Technical and Professional Requirements:
Minimum Qualifications: • Bachelors or Masters in Engineering or related technical field. • High proficiency in Java, JavaScript and its related tools. • Experience in building web applications using Java, Spring Boot and React JS. • Proficiency in Web Technologies – ReactJS, HTML5, JavaScript, CSS3. • Working proficiency in MySQL or Mongo Data Store. • At least 3-5 years of experience building elegant and fast Web interfaces. • Experience working in an Agile Team environment as well as work independently. Nice to Have: • Experience with e-commerce applications will be an added advantage. • Messaging – Proficiency in RabbitMQ/Other messaging frameworks like Kafka, Active MQ. • Apache SOLR experience. • Good understanding of Design Patterns. • IaaS Cloud experience. • Third-party API integration experience.
Preferred Skills:
UI & Markup Languages->Java Full Stack,Java,Springboot,UI & Markup Language->ReactJS,UI & Markup Language->HTML5 (UI),UI & Markup Language->Javascript (UI),UI & Markup Language->CSS3 (UI),Database->Nosql->MySql
Generic Skills:
Retail Domain->E-Commerce,Opensource->Apache Kafka,Enterprise Search->Solr Search (Solr),Cloud->AWS Administration(AWS IAAS)
Educational Requirements
Master Of Engineering,Bachelor of Engineering
Show More
Report",3.9,"Infosys Limited
3.9",Coimbatore,10000+ Employees,1981,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD),3.8,3.0,4.1,3.6,3.7
