Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work/Life Balance,Per Hour,Monthly,Employer Provided,Min Salary,Max Salary,Avg Salary,Company,CFounded,Age,Need React,Need Angular,Need TypeScript,Need SCSS/SASS,Need Node.js,Need Spring,Need Spring Boot,Need Vue.js,Need PHP,Need .NET,Need Ruby,Need Ruby on Rails,Need WordPress,Need MySQL,Need NoSQL,Need PostgreSQL,Need MongoDB,Need Django,Need Laravel,Need Vue
Senior Full Stack .NET Solutions Developer,Employer Provided Salary:₹12L - ₹16L,"SchoolCues is a fast growing SaaS-based EdTech company in the education vertical, based in Phoenix, AZ. We are looking for an experienced senior full stack .NET Technology Leader/ Solutions Architect to join our team asap.
The ‘Technology Leader’/ .NET Solutions Architect will have a strong technology background in .NET with a minimum of 8-10 years’ experience in development of Web based applications using Microsoft .NET technologies and at least 2 years of experience in managing a development team, and hands on approach in the execution of product development. The solutions arcjitect will have a strong background in full stack .NET design patterns/paradigms, formal design methodologies, leading and managing a development team providing a hands-on approach to technology development on multiple technology platforms.
The development team is responsible for the SaaS platform, which is a complex system that continues to evolve with new functionalities, integration with third party products, reworking of existing functionalities and also the upkeep of the system that operates round the clock (24x7 for 365 days of the year).
Show More
Report",-1.0,NFBS,Chennai,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,1,12,16,14.0,NFBS,-1.0,-1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Software Engineer - Full stack Developer,₹6L - ₹8L (Glassdoor Est.),"Role: Software Engineer – Full Stack Developer
Siemens founded the new business unit Siemens Advanta (formerly known as Siemens IoT Services) on April 1, 2019 with its headquarter in Munich, Germany. It has been crafted to unlock the digital future of its clients by offering end-to-end support on their outstanding digitalization journey. Siemens Advanta is a strategic advisor and a trusted implementation partner in digital transformation and industrial IoT with a global network of more than 8000 employees in 10 countries and 21 offices. Highly skilled and authoritative specialists offer services which range from consulting to craft & prototyping to solution & implementation and operation - everything out of one hand!
What part will you play?
Understand, Analyze, and derive software requirements, user stories, High level and low-level design, implementation, unit, and integration test to deliver high quality product.
Find out more about Siemens careers at: www.siemens.com/careers


Show More
Report",4.1,"Siemens
4.1",Bangalore,10000+ Employees,1847,Company - Public,Electronics Manufacturing,Manufacturing,$10+ billion (USD),3.8,3.7,4.1,3.7,4.1,0,0,0,6,8,7.0,"Siemens
",1847.0,176.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senior Ionic Developer (Full Stack),Employer Provided Salary:₹5L - ₹12L,"Senior Ionic Developer (Full Stack)
We, YUHIRO, a German-Indian IT company, are looking for a Full Stack Ionic Developer. Experienced in Ionic. Knowledge in backend technologies (e.g., PHP, Java, etc.) and Angular. Has created cross platform Android and iOS apps. Worked with MySQL.
Candidate Profile:
Has created Android and iOS hybrid apps, for example based in Ionic
Good communication skills
Experience in app and web development
Worked with Hybrid/ Cross Mobile App Frameworks
About the Company:
YUHIRO works with companies globally, for which we create web and mobile solutions. Currently we are looking for a passionate Full Stack Ionic Developer.
Experience: 4 to 9 years
Job Type: Full-time
Salary: ₹500,000.00 - ₹1,200,000.00 per year
Schedule:
Monday to Friday
Speak with the employer
+91 9746452223
Show Less
Report",4.7,"YUHIRO Technologies Private Limited
4.7",Cochin,1 to 50 Employees,2011,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,4.6,4.6,4.6,4.5,4.6,0,0,1,5,12,8.5,"YUHIRO Technologies Private Limited
",2011.0,12.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Full Stack Developer,Employer Provided Salary:₹45T,"We are looking for a Full Stack Developer to produce scalable software solutions. You’ll be part of a cross-functional team that’s responsible for the full software development life cycle, from conception to deployment. As a Full Stack Developer, you should be comfortable around both front-end and back-end coding languages, development frameworks, and third-party libraries. You should also be a team player with a knack for visual design and utility. If you’re also familiar with Agile methodologies, we’d like to meet you.
Roles & Responsibilities
Work with development teams and product managers to ideate software solutions
Design client-side and server-side architecture
Build the front-end of applications through appealing visual design
Develop and manage well-functioning databases and applications
Write effective APIs
Test software to ensure responsiveness and efficiency
Troubleshoot, debug and upgrade software
Create security and data protection settings
Build features and applications with a mobile responsive design
Write technical documentation
Work with data scientists and analysts to improve software
Requirements
Proven experience as a Full Stack Developer or similar role
Experience developing desktop and mobile applications
Familiarity with common stacks
Knowledge of multiple front-end languages and libraries (e.g. HTML/ CSS, JavaScript, XML, jQuery)
Knowledge of multiple back-end languages (e.g. C#, Java, .Net Core, >Net MVC) and JavaScript frameworks (e.g. Angular, React, Node.js)
Familiarity with databases (e.g. MSSQL, MySQL, MongoDB), web servers (e.g. Apache, IIS) and UI/UX design
Excellent communication and teamwork skills
Great attention to detail
Organizational skills
An analytical mind
Degree in Computer Science, Statistics or relevant field

Job Details
DepartermentTechnical
Location100% Remote
Job TypeFull time/ Contract
EducationBCA / MCA / BE-IT / Computer Engineer / BE-Computer Science
Experience3 to 5 Years
Offered SalaryUpto 45K CTC
Show Less
Report",3.6,"Citta Solutions
3.6",Remote,1 to 50 Employees,2009,Company - Private,Enterprise Software & Network Solutions,Information Technology,$1 to $5 million (USD),3.6,3.6,3.9,3.9,3.7,0,0,1,45,45,45.0,"Citta Solutions
",2009.0,14.0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
.Net Full Stack Senior Developer,₹4L - ₹6L (Glassdoor Est.),"Responsibilities
• Analyzing user requirements, envisioning system features and functionality. • Design, build, and maintain efficient, reusable, and reliable .Net codes by setting expectations and features priorities throughout development life cycle • Identify bottlenecks and bugs, and recommend system solutions by comparing advantages and disadvantages of custom development • Contributing to team meetings, troubleshooting development and production problems across multiple environments and operating platforms • Understand Architecture Requirements and ensure effective Design, Development, Validation and Support activities
Additional Responsibilities:
• Ability to communicate with remote teams in effective manner • High flexibility to travel • Knowledge of design principles and fundamentals of architecture • Understanding of performance engineering • Knowledge of quality processes and estimation techniques • Basic understanding of project domain • Ability to translate functional / nonfunctional requirements to systems requirements • Ability to design and code complex programs • Ability to write test cases and scenarios based on the specifications • Good understanding of SDLC and agile methodologies • Awareness of latest technologies and trends • Logical thinking and problem solving skills along with an ability to collaborate
Technical and Professional Requirements:
• Primary skills: .Net , Node JS, React JS , Angular , Vue JS Framework • In-depth knowledge of design issues and best practices • Solid understanding of object-oriented programming • Familiar with various design, architectural patterns and software development process. • Experience with both external and embedded databases • Creating database schemas that represent and support business processes • Implementing automated testing platforms and unit tests
Preferred Skills:
UI & Markup Language->NodeJS,UI & Markup Language->ReactJS,UI & Markup Language->Angular,.Net,Cloud Platform->Microservices
Educational Requirements
Master Of Comp. Applications,Master Of Engineering,Master Of Science,Bachelor Of Comp. Applications,Bachelor Of Science,Bachelor of Engineering
Show More
Report",3.9,"Infosys Limited
3.9",Bangalore,10000+ Employees,1981,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD),3.8,3.0,4.1,3.6,3.7,0,0,0,4,6,5.0,"Infosys Limited
",1981.0,42.0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
Full Stack Developer,Employer Provided Salary:₹18T - ₹25T,"Role: FullStack Developer
Experience: 0-3 years
Location: Madurai
Mode: Work from office
We have vast experience in delivering high-quality products with significant output on time. We are specialized in creating web and mobile applications with the latest technology. We are expert in developing a perfect solution for rental marketplace services and on-demand businesses done by our proficient team of experts with strong experience in development.
Minimum of 6 months of real-time experience in React/Node.js/Angular
Good understanding of structured and unstructured databases (MySQL and MongoDB)
Knowledge of isomorphic React is an added advantage
Experience in implementing well-known React workflows such as Redux
Ability to learn new technologies and languages quickly
Proficient understanding of code versioning tools, such as Git
Experience with Javascript backend framework like Express.js
Good time-management skills
Experience with Restful API services
Delivering a complete front end application
Professional, precise communication skills
Deep knowledge of Angular/Node.js/React practices and commonly used modules based on extensive work experience
Good knowledge in Javascript and able to handle Array & Objects built-in methods
A Good logical thinking and problem-solving skills
A good team player
Job Types: Full-time, Regular / Permanent
Salary: ₹18,000.00 - ₹25,000.00 per month
Benefits:
Health insurance
Schedule:
Day shift
Supplemental pay types:
Performance bonus
Speak with the employer
+91 7867007700
Show Less
Report",4.0,"RadicalStart Infolab Pvt Ltd
4.0",Madurai,51 to 200 Employees,2017,Unknown,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,4.2,4.4,4.3,4.3,4.3,0,1,1,18,25,21.5,"RadicalStart Infolab Pvt Ltd
",2017.0,6.0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Ruby on Rails Developer,Employer Provided Salary:₹11L - ₹23L,"Company Profile
We are Vispan’s Digital warrior, work tirelessly in order to grow our customer’s business digitally, A simple mantra we have on our mind- if clients are happy, Vispan is super happy! We are aiming to grow our company at 2x speed, we strongly believe that our Human Capital is our greatest strength and asset in our growth story, we encourage diversity, a flexible and productive working culture, Our Career Progression plan is made to provide all Kind of Equal opportunity to you. In this role, you will work as a key part of the team for one of our longest and most interesting clients: Travelstride, www.travelstride.com. They are a venture-backed startup improving the way people explore the world on holiday We invite you to join our hand in this intrapreneurship Journey, Share your cv at 7383694941 & Please visit https://www.vispansolutions.com/careers/
Job Summary:
1 Design, develop, implement, and maintain new existing web-based applications, initially for client Travelstride. You will join several other software developers that have
2 Hands-on experience with web application development
3 Strong understanding of Rails and Ruby on Rails and a knack for writing clean code.
4 Excellent communication skills both Verbal and Written
5 Keen on Performance optimization strong Programming, Object-oriented skills
6 Work on the client Projects and Write well designed, testable, efficient code in the required technologies on the projects.
7 Identifying and fixing bottlenecks and bugs.
8 Contribute in all phases of the development lifecycle utilizing a modified agile/scrum methodology
Essential to nail the Job
1 Education: A minimum of a graduate degree in a relevant field is preferred, but we care most about your direct experience and code quality.
2 Experience: 4+ years of work experience as a full-stack Ruby on
Rails developer
3 Skills ● Ability to write clean ruby on rails code.
● Front-end development skills
4 Other Working Condition: Flexible Timings - will need to join video calls several evenings per week with clients based in the US, 5 Days Working
5 Salary (CTC): No bar for right candidate
Job Type: Full-time
Salary: ₹1,100,000.00 - ₹2,300,000.00 per year
Benefits:
Flexible schedule
Work from home
Schedule:
Flexible shift
Experience:
Ruby on Rails: 4 years (Required)
Speak with the employer
+91 7383694941
Show Less
Report",-1.0,Vispan Solutions Private Limited,Rājkot,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,1,11,23,17.0,Vispan Solutions Private Limited,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Full Stack Developer - React / NodeJS,Employer Provided Salary:₹8L - ₹10L,"Full–time
Perform hands-on software development, including writing code and unit tests, doing proof of concepts, conducting code reviews, and testing in ongoing sprints
Work closely with product managers and other full-stack developers to implement innovative solutions to challenging web development problems
Participates in system design and specifications, program logic and flow-charting, development, testing, debugging, documentation, and support
Provides analysis of problems and recommends solutions
Work collaboratively with a tight-knit product development team
Qualifications BE, BTech, or MS degree in computer science, or equivalent 3+ years of work experience.
Show More
Report",-1.0,digiXL Inc.,Remote,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,1,8,10,9.0,digiXL Inc.,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Analyst-Full Stack Developer(FRM)-Pune,₹6L - ₹9L (Glassdoor Est.),"JOB DESCRIPTION

Full Stack Developer - FRM

QUALIFICATIONS

B.Tech
Show More
Report",4.0,"KPMG
4.0",Pune,10000+ Employees,1987,Company - Private,Business Consulting,Management & Consulting,$10+ billion (USD),4.2,3.7,4.1,3.8,3.3,0,0,0,6,9,7.5,"KPMG
",1987.0,36.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Java Full stack developer (T8),₹3L - ₹3L (Glassdoor Est.),"Aufgaben
Skills
1. Mandatory – Core Java Spring, Springboot, Microservices, RESTful architecture, Kubernetes, Junit, Sonar
2. Mandatory - Maven, Git, Bamboo
3. Mandatory - Experience in Agile scrum ways of working
4. Mandatory - Experience in architecture and design of the Java applications
5. Good to have - Proficiency in German language
Responsibilities
1. To ensure quality of Software.
2. Contribution in design, coding, integration, analysis and documentation in the assigned project
3. Timely delivery of assigned development tasks/modules.
Qualifikationen
Skills

1. Mandatory – Core Java Spring, Springboot, Microservices, RESTful architecture, Kubernetes, Junit, Sonar
2. Mandatory - Maven, Git, Bamboo
3. Mandatory - Experience in Agile scrum ways of working
4. Mandatory - Experience in architecture and design of the Java applications
5. Good to have - Proficiency in German language

Responsibilities

1. To ensure quality of Software.

2. Contribution in design, coding, integration, analysis and documentation in the assigned project

3. Timely delivery of assigned development tasks/modules.
Start your job application: click Apply Now
Show Less
Report",4.0,"Mercedes-Benz Research and Development India Private Limited
4.0",Bangalore,5001 to 10000 Employees,1996,Company - Private,Information Technology Support Services,Information Technology,$100 to $500 million (USD),3.8,3.7,4.1,3.5,4.2,0,0,0,3,3,3.0,"Mercedes-Benz Research and Development India Private Limited
",1996.0,27.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
